imagedata_id,imagelocation,imagedate,imagepath,imagelable,lamina_area,lamina_length,lamina_width,scar_count,scar_area,damagepercentage
1,Benoni,2024-12-03,./assets/input/inputImage1.png,inputImage1_front,112.55,16.77,19.77,27,9.26,8.23
2,Benoni,2024-12-03,./assets/input/inputImage2.png,inputImage2_front,120.7,26.32,25.52,33,0.17,0.14
3,Benoni,2024-12-03,./assets/input/Leaf 1.jpg,Leaf 1_front,27.68,22.41,14.13,54,0.19,0.68
4,Benoni,2024-12-03,./assets/input/Leaf 2.jpg,Leaf 2_front,57.57,14.62,10.16,89,0.07,0.12
5,Benoni,2024-12-03,./assets/input/Leaf 3A.jpg,Leaf 3A_front,59.54,11.94,10.68,38,0.03,0.06
6,Benoni,2024-12-03,./assets/input/Leaf 3B.jpg,Leaf 3B_front,33.98,13.56,13.0,48,0.05,0.14
7,Benoni,2024-12-03,./assets/input/Leaf 4A.jpg,Leaf 4A_front,23.44,11.13,8.56,130,10.78,45.99
8,Benoni,2024-12-03,./assets/input/Leaf 4B.jpg,Leaf 4B_front,22.36,11.34,9.31,259,3.55,15.87
9,Benoni,2024-12-03,./assets/input/Leaf 5A.jpg,Leaf 5A_front,41.5,10.11,8.43,39,0.01,0.03
10,Benoni,2024-12-03,./assets/input/Leaf 5B.jpg,Leaf 5B_front,32.58,10.01,8.05,44,0.01,0.04
